ImageID,Taxa in original image,"Makes treefile / svg? (1=yes, 0=no)",GenBankIDs,Pseudo-GB-IDs,Pseudo/Total %,Tree Assessment (out of 100),Taxon labels missing,Can TreeGraph2 interpret Newick output,Number of OCR errors (raw number of incorrect characters),Notes,Link to Original Image
65156-0-000,21,1,8,8,38.0952381,100,11,1,18,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65156-0-000.pbm.png
65157-0-007,23,1,19,20,86.95652174,100,2,1,5,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65157-0-007.pbm.png
65158-0-000,48,0,,,0,no tree,,n/a,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65158-0-000.pbm.png
65160-0-000,13,1,8,11,84.61538462,100,1,1,2,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65160-0-000.pbm.png
65162-0-000,21,1,2,2,9.523809524,20,all but two missing,1,3,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65162-0-000.pbm.png
65163-0-000,23,0,,,0,no tree,,n/a,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65163-0-000.pbm.png
65165-0-000,15,1,0,0,0,100,,0,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65165-0-000.pbm.png
65166-0-000,17,1,10,10,58.82352941,100,7,1,5,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65166-0-000.pbm.png
65166-0-001,5,1,2,2,40,100,4,1,3,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65166-0-001.pbm.png
65167-0-000,12,1,10,10,83.33333333,100,2,1,4,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65167-0-000.pbm.png
65168-0-001,26,0,,,0,no tree,,n/a,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65168-0-001.pbm.png
65169-0-000,19,1,0,0,0,100,all but two missing,0,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65169-0-000.pbm.png
65172-0-000,13,1,0,0,0,100,5,1,10,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65172-0-000.pbm.png
65173-0-000,38,1,33,33,86.84210526,100,7,1,8,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65173-0-000.pbm.png
65174-0-000,58,0,,,0,no tree,,n/a,,3 trees,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65174-0-000.pbm.png
65175-0-000,46,0,,,0,no tree,,n/a,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65175-0-000.pbm.png
65176-0-000,17,1,0,0,0,100,5,0,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65176-0-000.pbm.png
65177-0-000,17,1,14,14,82.35294118,100,2,1,7,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65177-0-000.pbm.png
65178-0-000,17,0,,,0,no tree,,n/a,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65178-0-000.pbm.png
65179-0-000,13,1,0,0,0,100,1,0,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65179-0-000.pbm.png
65181-0-000,17,1,0,0,0,100,all missing,0,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65181-0-000.pbm.png
65182-0-001,16,1,0,0,0,100,all but 3 missing,0,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65182-0-001.pbm.png
65183-0-000,18,1,8,8,44.44444444,100,9,1,3,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65183-0-000.pbm.png
65184-0-000,15,1,13,13,86.66666667,100,1,1,4,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65184-0-000.pbm.png
65185-0-000,12,1,9,9,75,100,3,1,8,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65185-0-000.pbm.png
65186-0-000,14,1,0,0,0,100,all missing,1,4,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65186-0-000.pbm.png
65187-0-000,21,1,19,21,100,100,,1,4,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65187-0-000.pbm.png
65188-0-000,15,1,15,15,100,100,,1,12,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65188-0-000.pbm.png
65191-0-000,46,1,0,0,0,100,1,0,,two trees,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65191-0-000.pbm.png
65192-0-000,15,1,1,1,6.666666667,5,missing all but one,1,7,"one twig
",https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65192-0-000.pbm.png
65193-0-000,15,1,15,15,100,100,,1,10,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65193-0-000.pbm.png
