ImageID,Taxa in original image,"Makes treefile / svg? (1=yes, 0=no)",GenBankIDs,Pseudo-GB-IDs,Pseudo/Total %,Tree Assessment (out of 100),Taxon labels missing,Can TreeGraph2 interpret Newick output,Number of OCR errors (raw number of incorrect characters),Notes,Link to Original Image
65027-0-001,17,1,12,13,76.47058824,100,4,1,8,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65027-0-001.pbm.png
65028-0-000,16,0,,,0,no tree,,n/a,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65028-0-000.pbm.png
65030-0-001,17,1,16,16,94.11764706,100,1,1,12,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65030-0-001.pbm.png
65031-0-000,6,1,5,5,83.33333333,100,,1,0,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65031-0-000.pbm.png
65032-0-000,27,0,,,0,no tree,,n/a,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65032-0-000.pbm.png
65033-0-000,21,1,21,21,100,100,,1,8,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65033-0-000.pbm.png
65034-0-001,27,1,21,21,77.77777778,100,4,1,9,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65034-0-001.pbm.png
65035-0-000,20,1,16,16,80,100,3,1,10,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65035-0-000.pbm.png
65036-0-000,16,1,15,16,100,100,,1,2,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65036-0-000.pbm.png
65037-0-000,42,0,,,0,no tree,,n/a,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65037-0-000.pbm.png
65038-0-000,17,1,6,9,52.94117647,no tree,,n/a,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65038-0-000.pbm.png
65038-0-001,17,1,0,0,0,100,8,1,11,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65038-0-001.pbm.png
65038-0-002,17,1,,,0,100,1,0,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65038-0-002.pbm.png
65039-0-000,21,1,0,0,0,100,5,0,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65039-0-000.pbm.png
65040-0-000,11,1,11,11,100,100,,1,4,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65040-0-000.pbm.png
65041-0-000,34,0,,,0,no tree,,n/a,,underlined tip labels. Very odd,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65041-0-000.pbm.png
65041-0-001,75,0,,,0,no tree,,n/a,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65041-0-001.pbm.png
65041-0-002,48,1,21,22,45.83333333,80,2,1,20,"two trees in image, got most of the top tree",https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65041-0-002.pbm.png
65042-0-000,7,1,0,0,0,100,3,0,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65042-0-000.pbm.png
65044-0-000,12,1,0,0,0,95,10,0,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65044-0-000.pbm.png
65044-0-001,9,1,0,0,0,100,8,0,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65044-0-001.pbm.png
65045-0-001,15,1,0,0,0,100,13,1,7,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65045-0-001.pbm.png
65046-0-001,30,0,,,0,no tree,,n/a,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65046-0-001.pbm.png
65047-0-000,27,1,0,0,0,100,,0,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65047-0-000.pbm.png
65048-0-000,15,1,10,10,66.66666667,80,5,1,2,missing a 5 taxon clade,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65048-0-000.pbm.png
65049-0-001,14,1,11,11,78.57142857,100,,1,3,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65049-0-001.pbm.png
65049-0-002,12,1,0,0,0,100,1,0,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65049-0-002.pbm.png
65050-0-000,15,1,0,0,0,90,,0,,one incorrect tip. An odd occurence,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65050-0-000.pbm.png
65053-0-000,15,1,13,13,86.66666667,100,1,1,4,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65053-0-000.pbm.png
65054-0-001,21,1,16,16,76.19047619,100,5,1,8,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65054-0-001.pbm.png
65056-0-000,5,1,4,4,80,100,,1,1,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65056-0-000.pbm.png
65057-0-001,12,1,0,0,0,100,9,0,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65057-0-001.pbm.png
65059-0-000,64,0,,,0,no tree,,n/a,,too large a tree?,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65059-0-000.pbm.png
65060-0-000,23,0,,,0,no tree,,n/a,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65060-0-000.pbm.png
65061-0-001,21,1,13,13,61.9047619,100,8,1,5,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65061-0-001.pbm.png
65061-0-002,41,1,34,34,82.92682927,90,7,1,11,one large flat tip,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65061-0-002.pbm.png
65061-0-003,30,0,,,0,no tree,,n/a,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65061-0-003.pbm.png
65061-0-004,38,0,,,0,no tree,,n/a,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65061-0-004.pbm.png
65061-0-005,20,1,6,16,80,100,10,1,4,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65061-0-005.pbm.png
65063-0-000,18,0,,,0,no tree,,n/a,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65063-0-000.pbm.png
65064-0-000,8,1,2,2,25,20,6,1,2,subtree twig,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65064-0-000.pbm.png
65065-0-000,12,1,12,12,100,100,,1,3,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65065-0-000.pbm.png
65066-0-000,17,1,11,11,64.70588235,100,5,1,5,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65066-0-000.pbm.png
65067-0-001,29,0,,,0,no tree,,n/a,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65067-0-001.pbm.png
65068-0-001,18,1,0,0,0,100,,0,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65068-0-001.pbm.png
65069-0-000,6,1,6,6,100,100,,1,1,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65069-0-000.pbm.png
65070-0-001,23,0,,,0,no tree,,n/a,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65070-0-001.pbm.png
65071-0-000,17,1,0,0,0,100,1,0,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65071-0-000.pbm.png
65072-0-000,20,1,19,20,100,100,,1,4,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65072-0-000.pbm.png
65073-0-000,28,0,,,0,no tree,,n/a,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65073-0-000.pbm.png
65074-0-000,12,1,0,0,0,100,,0,,gets 1 of the two trees,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65074-0-000.pbm.png
65075-0-000,37,0,,,0,no tree,,n/a,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65075-0-000.pbm.png
65076-0-000,17,1,0,0,0,100,4,0,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65076-0-000.pbm.png
65077-0-000,21,1,21,21,100,100,,1,5,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65077-0-000.pbm.png
65078-0-000,30,0,,,0,no tree,,n/a,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65078-0-000.pbm.png
65079-0-000,28,1,0,0,0,100,1,0,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65079-0-000.pbm.png
65080-0-000,22,1,0,0,0,100,2,0,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65080-0-000.pbm.png
65081-0-000,51,0,,,0,no tree,,n/a,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65081-0-000.pbm.png
65084-0-000,7,1,5,5,71.42857143,100,1,1,6,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65084-0-000.pbm.png
65085-0-000,15,1,8,8,53.33333333,100,7,1,1,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65085-0-000.pbm.png
65086-0-000,18,1,13,13,72.22222222,100,4,1,13,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65086-0-000.pbm.png
65087-0-000,14,1,4,5,35.71428571,100,9,1,18,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65087-0-000.pbm.png
65088-0-000,25,1,21,22,88,100,2,1,7,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65088-0-000.pbm.png
65090-0-001,27,1,0,0,0,100,,0,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65090-0-001.pbm.png
65091-0-000,25,1,24,25,100,100,,1,26,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65091-0-000.pbm.png
65092-0-000,23,0,,,0,no tree,,n/a,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65092-0-000.pbm.png
65093-0-000,16,1,7,7,43.75,100,7,1,2,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65093-0-000.pbm.png
65093-0-001,16,0,,,0,no tree,,n/a,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65093-0-001.pbm.png
65095-0-000,20,1,17,17,85,90,1,1,2,1 missed off root taxon,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65095-0-000.pbm.png
65096-0-001,12,1,7,7,58.33333333,100,5,1,5,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65096-0-001.pbm.png
65096-0-002,12,1,6,6,50,100,6,1,8,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65096-0-002.pbm.png
65098-0-001,38,0,,,0,no tree,,n/a,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65098-0-001.pbm.png
65099-0-000,18,1,0,0,0,90,5,0,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65099-0-000.pbm.png
65100-0-001,20,1,14,14,70,100,6,1,17,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65100-0-001.pbm.png
65101-0-001,26,1,0,0,0,20,nearly all missing,0,,subtree twig,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65101-0-001.pbm.png
65102-0-001,39,1,23,23,58.97435897,100,11,1,3,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65102-0-001.pbm.png
65103-0-000,22,1,12,15,68.18181818,100,7,1,7,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65103-0-000.pbm.png
65104-0-000,24,1,0,0,0,100,1,0,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65104-0-000.pbm.png
65105-0-000,17,1,0,0,0,100,all missing,0,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65105-0-000.pbm.png
